,English Company Name,Chinese Company Name,Valid Licence since,District,Address,Telephone No,FAX,Email,Placement Type
856,Eternity Consultants (HK) Limited,力行顧問(香港)有限公司,2003,Sham Shui Po District,"Unit 1, 5th floor, Premier Centre, 20 Cheung Shun Street, Lai Chi Kok, Kowloon",35425082,35270634,info@hketernity.com,Office Staff / Executive Search
857,Ethos BeathChapman Hong Kong Limited,,2019,Eastern District,"Unit 7-8, 36th floor, PCCW Tower, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",344613095, ,ebchk@ethosbc.com,Office Staff / Executive Search
858,ETR Partners Limited,,2021,Central and Western District,"20th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",21599128,21599688,admin@etrpartners.com,Office Staff / Executive Search
859,Etymon Communications & Brand Management Consultants Limited,,2013,Tsuen Wan District,"Room 615, 6th floor, One Midtown, 11 Hoi Shing Road, Tsuen Wan, New Territories",25223822,25222058,georgeana.fung@etymon.com.hk,Office Staff / Executive Search
860,EVENT ELITE PRODUCTION AND PROMOTION LIMITED,,2020,Kwun Tong District,"Block H, 12th floor, Phase 4, Kwun Tong Industrial Centre, 436-446 Kwun Tong Road, Kwun Tong, Kowloon",27702370,30058760,enquiry@eventelite.com,Other Non-office Worker
861,EVER POWER SERVICE CO.,永實服務公司,2011,Eastern District,"Shop 118, Block 1-3, Maximall (City Garden), 233 Electric Road, North Point, Hong Kong",98379587,39059113,tw318@ymail.com,Foreign Domestic Helpers
862,Ever Rising Maid Agency,鴻昇女傭,2004, ,"Room C, 8th floor, Glory Heights, 52 Lyttelton Road, Mid-Levels, Hong Kong", , , ,Foreign Domestic Helpers
863,EVER TALENT SOLUTIONS LIMITED,俊智顧問服務有限公司,2011,Central and Western District,"Room 801, 8th floor, Hua Fu Commercial Building, 111 Queen's Road West, Sheung Wan, Hong Kong", , , ,Office Staff / Executive Search
864,EVERBEST MAIDS EMPLOYMENT AGENCY,德晉僱傭公司,2016,Kwun Tong District,"Unit 505B, 5th floor, Yen Sheng Centre, 64 Hoi Yuen Road, Kwun Tong, Kowloon",27021788,27021588,everbestmaids@yahoo.com,Foreign Domestic Helpers
865,EVERCARE HEALTH LIMITED,,2018,Wan Chai District,"4th-6th floor & 20th-21st floor, Lee Garden Three, 1 Sunning Road, Causeway Bay, Hong Kong",39054000, ,info@yourevercare.com,Other Non-office Worker
866,EVEREST HELPERS EMPLOYMENT COMPANY,壹峰僱傭公司,2019,Sha Tin District,"Shop 233, 2nd floor, Kings Wing Plaza 2, 1 On Kwan Street, Sha Tin, New Territories",36195313,36195312,info@everesthelpers.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
867,EVERHOME EMPLOYMENT AGENCY LIMITED,宜居僱傭有限公司,2018,Tuen Mun District,"Shop 46, Ground floor, Lee Po Shopping Centre, 3 Tsing Ho Square, Tuen Mun, New Territories",36187098,35905784,ron@everhome.com.hk,Foreign Domestic Helpers
868,Everlink HR Consulting Limited,永聆人事顧問有限公司,2017,Yau Tsim Mong District,"Flat 1705-1706, 17th floor, Podium Plaza, 5 Hanoi Road, Tsim Sha Tsui, Kowloon",23126993,30209558,jon@everlink.com,Office Staff / Executive Search
869,Every Good Company,永好公司,2007,Yuen Long District,"Flat G, 1st floor, Fung Nin Building, 7 Fung Nin Road, Yuen Long, New Territories",24427813,24427307,everygoodco@yahoo.com.hk,Foreign Domestic Helpers
870,EVERYBODY'S EMPLOYMENT AGENCY,妳的僱傭中心,2001,Kwun Tong District,"Shop 19, Ground floor, Laguna Arcade, Phase 3, Laguna City, 95 Cha Kwo Ling Road, Cha Kwo Ling, Kowloon",27179996,27275711,everybodyst@yahoo.com.hk,Foreign Domestic Helpers
871,EVOLVE,,2017,Wan Chai District,"Flat A, 37th floor, Block 2, Illumination Terrace, 7 Tai Hang Road, Tai Hang, Hong Kong",90178815, ,kcheung@hr-evolve.com,"Office Staff / Executive Search, Other Non-office Worker"
872,Exceed Consulting Limited,,2018,Kwun Tong District,"Flat L5, 12th floor, Phase 3, Kwun Tong Industrial Centre, 448-458 Kwun Tong Road, Kwun Tong, Kowloon",21113014, ,peggyw@exceedconsulting.com.hk,Office Staff / Executive Search
873,Excel Choice Employment Services Limited,首選僱傭服務有限公司,2000,Yau Tsim Mong District,"Room 1411, 14th floor, Good Hope Building, 5 Sai Yeung Choi Street South, Mong Kok, Kowloon",25235433,31623402,excelchoice@yahoo.com.hk,Foreign Domestic Helpers
874,Excel Famous Domestic Helper Consultant Limited,正然僱傭顧問有限公司,2013,Tai Po District,"Shop 26B, Ground floor, Tai Po Plaza, 1 On Tai Road, Tai Po, New Territories",23709999,23277977,efdh6688@gmail.com,Foreign Domestic Helpers
875,Excel Famous Domestic Helper Consultant Limited,正然僱傭顧問有限公司,2019,Yau Tsim Mong District,"Shop F4, Ground floor, Sunshine Building, 36 Victory Avenue, Mong Kok, Kowloon",26669222,28023198,efdh6688@gmail.com,Foreign Domestic Helpers
876,EXCEL POWER RECRUITMENT LIMITED,卓威人才策略有限公司,2014,Wan Chai District,"Room 2318, 23rd floor, Leighton Centre, 77 Leighton Road, Causeway Bay, Hong Kong",37969603, ,resume@excelpower.co,Office Staff / Executive Search
877,EXCELINK GLOBAL,環球醫聯產業平台,2021,Yau Tsim Mong District,"Room 903, 9th floor, Golden Gate Commercial Building, 136-138 Austin Road, Tsim Sha Tsui, Kowloon",35753999, ,kchan@excelinkglobal.com,Office Staff / Executive Search
878,Excellent Employment Service & Trading,,2004,Yau Tsim Mong District,"Flat A, 6th floor, Tung Wui Building, 46-48 Kimberly Road, Tsim Sha Tsui, Kowloon",23682433, ,excellent.employment@gmail.com,Foreign Domestic Helpers
879,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Central and Western District,"Room 303, 3rd floor, On Lok Yuen Building, 25-27A Des Voeux Road Central, Central, Hong Kong",28955818, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
880,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Yau Tsim Mong District,"16th floor, Oriental Centre, 67-71 Chatham Road South, Tsim Sha Tsui, Kowloon",24069818, , ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
881,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Kwun Tong District,"Shop C1, C2, D1, D2, E1 & E2, 16th floor, TG Place, 10 Shing Yip Street, Kwun Tong, Kowloon",27899181, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
882,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Wan Chai District,"3rd floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong",25579002, , ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
883,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Central and Western District,"5th floor, World Trust Tower, 50 Stanley Street, Central, Hong Kong",23264318, , ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
884,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Central and Western District,"Room 1202-1203, 12th floor, Silver Fortune Plaza, 1 Wellington Street, Central, Hong Kong",24810609, , ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
885,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Eastern District,"Basement of Shop C, Ground floor, King's View Court, 901-907 King's Road, Quarry Bay, Hong Kong",82058085, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
886,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Sai Kung District,"Units B74-B90, B99-B116 & B132-B136, 1st floor, The Commercial Accommodation, Well On Garden, 9 Yuk Nga Lane, Tseung Kwan O, New Territories",34039315, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
887,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Wan Chai District,"1st floor and 2nd floor, The Grandeur, 47 Jardine's Bazaar, Causeway Bay, Hong Kong",25770510, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
888,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Yau Tsim Mong District,"3rd floor, BCC Building, 25-31 Carnarvon Road, Tsim Sha Tsui, Kowloon",21539788, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
889,Excellent Quality Maid Agency Limited,品優僱傭中心有限公司,2019,Wan Chai District,"1st floor, King Kwong Mansion, 8 King Kwong Street, Happy Valley, Hong Kong",28348828, ,enquiry@excellentqualitymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
890,ExcelNet Total HR Solutions,卓越人力資源管理顧問,2007,Wan Chai District,"Room 503, 5th floor, Dominion Centre, 43-59 Queen's Road East, Wan Chai, Hong Kong",25255699,25233465,hr@excelnet.com.hk,"Local Domestic Helpers, Office Staff / Executive Search"
891,ExcelNet Total HR Solutions,卓越人力資源管理顧問,2007,Kwun Tong District,"Room 907 & 908, 9th floor, Apec Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",25255699,25233465,CS@EXCELNET.COM.HK,Office Staff / Executive Search
892,ExecCapital Limited,仁勵資源(香港)有限公司,2007,Central and Western District,"Level 20, One International Finance Centre, 1 Harbour View Street, Central, Hong Kong",22972886,38996899,contacthk@exec-capital.com,Office Staff / Executive Search
893,Executive Access Limited,,1991,Central and Western District,"Room 1302-1308, 13th floor, Prince's Building, 10 Chater Road, Central, Hong Kong", , , ,Office Staff / Executive Search
894,Executive Connections Limited,連才有限公司,1996, ,"Flat A, 6th floor, Dah Sing Life Building, 99-105 Des Voeux Road Central, Central, Hong Kong", , , ,Office Staff / Executive Search
895,Executive Hunter Limited,,2007,Wan Chai District,"11th floor, Capital Centre, 151 Gloucester Road, Wan Chai, Hong Kong",21160256,37521858,elena@executive-hunter.com,Office Staff / Executive Search
896,Executive Referral Limited,,2021,Yau Tsim Mong District,"Room 1901, 19th floor, Workingport Commercial Building, 3 Hau Fook Street, Tsim Sha Tsui, Kowloon",91884231, ,info@execref.com,Office Staff / Executive Search
897,Executive Search Group International Limited,,1999,Central and Western District,"Suite 602, 6th floor, Chinachem Hollywood Centre, 1-13 Hollywood Road, Central, Hong Kong",25218333,25218665,loretta@esgintl.com,Office Staff / Executive Search
898,EXPERIOR ASIA LIMITED,,2016,Central and Western District,"Room  9, 14th floor, Kingdom Power Commercial Building, 32-36 Des Voeux Road West, Sheung Wan, Hong Kong",21274237,35431342,jessie@aureliam.com,Other Non-office Worker
899,Experis,,2019,Wan Chai District,"Rooms 301-4, 3rd floor, Harcourt House, 39 Gloucester Road, Wan Chai, Hong Kong",25253513,28694629,enquiries@manpower.com.hk,Office Staff / Executive Search
900,Expert Service Limited,專業科技服務有限公司,2018,Yau Tsim Mong District,"Room I, 1st floor, 80-86 Argyle Street, Mong Kok, Kowloon",51154864,28805949,kyt@expertservice.com.hk,Office Staff / Executive Search
901,EXPERTIME SOLUTIONS,,2008,Tsuen Wan District,"Room 05, Flat A, 9th floor, Tak Wing Industrial Building, 3 Tsun Wen Road, Tuen Mun, New Territories",21464833,21464886,admin@expertime.net,Office Staff / Executive Search
902,EXPLORER EMPLOYMENT AGENCY,,2021,Sham Shui Po District,"Shop 64G, Mount Sterling Mall, Phase 7, Mei Foo Sun Chuen, Mei Foo, Kowloon", , , ,Foreign Domestic Helpers
903,Express-Domestic Employment Services Agency,快遞家傭僱用服務代理,2006,Sha Tin District,"Flat B, 3rd floor, Chip Lee Building, 180 Sai Yeung Choi Street South, Mong Kok, Kowloon",63321312, ,tonyexpressdomestic@yahoo.com.hk,Foreign Domestic Helpers
904,Extensive Employment Services Centre,宏寶僱傭服務中心,1991,Yau Tsim Mong District,"Shop B, Ground floor, 27 Shanghai Street, Jordan, Kowloon",24929263,24929633,extemployment@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
905,EXTRA HAND HONG KONG AGENCY CO.,占美顧傭中心,2014, ,"Flat F, 35th floor, Block 3, Greenview Villa, 18 Tsing Luk Street, Tsing Yi, New Territories", , , ,Foreign Domestic Helpers
906,EZY HELPERS,宜用舍,2015,Southern District,"Units 823-825, Level 8, Cyberport 1, 100 Cyberport Road, Pok Fu Lam, Hong Kong",31534372,31534455,sarah.fung@ezyplanet.com,"Foreign Domestic Helpers, Imported Worker"
907,"F. E. L. C. (Hong Kong) Co., Limited",閩勞(香港)有限公司,1998,Wan Chai District,"Room E, 12th floor, Thai Kong Building, 482 Hennessy Road, Wan Chai, Hong Kong",25788566,25788585,tenjincn@yahoo.com.hk,Imported Worker
908,F.E. Corporate Services Limited,,2018,Eastern District,"Shop 232, Maxi Base, 233 Electric Road, North Point, Hong Kong",31030526, ,info@feworkshop.com.hk,Office Staff / Executive Search
909,FABULOUS EMPLOYMENT AGENCY,保源僱傭中心,2016,Central and Western District,"Room 1003, 10th floor, Yu Sung Boon Building, 107-113 Des Voeux Road Central, Central, Hong Kong",34837313,39046361,fabulousemployment@yahoo.com.hk,Foreign Domestic Helpers
910,Facess Media Limited,,2021,Kwun Tong District,"Room B1, 4th floor, Block 1, Meyer Industrial Building, 2 Chong Yip Street, Kwun Tong, Kowloon",27976265,35853265,vingi28@yahoo.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
911,FAI SING (HONG KONG) LIMITED,輝昇(香港)有限公司,2014,Wan Chai District,"Flat C5, Block C, 13th floor, Paterson Building, 37 Paterson Street, Causeway Bay, Hong Kong",27084038,39933850,fongwah_yeung@yahoo.com,Foreign Domestic Helpers
912,FAIR CHOICE DOMESTIC HELPER SERVICES,,2016,Kwai Tsing District,"Unit A17, Flat 10-11, 23rd floor, Wah Fat Industrial Building, 10-14 Kung Yip Street, Kwai Chung, New Territories",34863018, ,fairchoicehk@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
913,Fair Employment Agency Limited,公平僱傭中心有限公司,2016,Central and Western District,"5th floor, Connaught Harbourfront House, 35-36 Connaught Road West, Sheung Wan, Hong Kong",35686858,30207440,info@fairagency.org,Foreign Domestic Helpers
914,Fair Employment Agency Limited,公平僱傭中心有限公司,2020,Tsuen Wan District,"Unit 1, 15th floor, Mega Trade Centre, 1-6 Mei Wan Street, Tsuen Wan, New Territories",36112997,30207440,info@fairagency.org,Foreign Domestic Helpers
915,Fair Value Company Limited,眾益網絡有限公司,2019,Central and Western District,"Room 6, 11th floor, Arion Commercial Centre, 2-12 Queen's Road West, Sheung Wan, Hong Kong",21144988,28652559,info@fairvalue.com.hk,Foreign Domestic Helpers
916,FairMaid Limited,,2016,Wan Chai District,"Office 77, 5th floor, United Centre, 95 Queensway, Admiralty, Hong Kong",28859558, ,freedom@maidforyou.com.hk,Foreign Domestic Helpers
917,Faith Search Limited,,2021,Kwun Tong District,"Rooms A-B, 25th floor, King Palace Plaza, 55 King Yip Street, Kwun Tong, Kowloon",28776227,28776226,faithsearchlimited@gmail.com,Office Staff / Executive Search
918,Faithful Search Company,,2010,Kwai Tsing District,"Unit B8, 14th floor, Roxy Industrial Centre, 58-66 Tai Lin Pai Road, Kwai Chung, New Territories",36119950,31084420,kenneth@fsco.hk,Office Staff / Executive Search
919,Fame Employment Agency,金譽僱傭中心,2002,Yuen Long District,"Flat D, 4th floor, Lok Fu Building, 2-16 Fuk Tin Path, Yuen Long, New Territories",24330699,37417429,fameagt@yahoo.com.hk,Foreign Domestic Helpers
920,Family Care Employment Agency,家樂僱傭公司,2000,Central and Western District,"Flat A, 3rd floor, Shing Hing Commercial Building, 21-27 Wing Kut Street, Central, Hong Kong",28879997,28681641,info@familycareemploymentagency,Foreign Domestic Helpers
921,Family Care Employment Agency,家樂僱傭公司,2008, ,"Shop 58, Ground floor, Block 12, City Garden, 233 Electric Road, North Point, Hong Kong", , , ,Foreign Domestic Helpers
922,FAMILY EMPLOYMENT AGENCY LIMITED,名家家傭中心有限公司,2012,Wan Chai District,"Shop 40, 1st floor, Cathay Lodge, 125 Wan Chai Road, Wan Chai, Hong Kong", , ,aries_chung@hotmail.com,"Local Domestic Helpers, Foreign Domestic Helpers"
923,FAMILY STAR EMPLOYMENT AGENCY CENTRE,明欣海外僱傭中心,2021,Eastern District,"Flat J, Lower Mezzanine Ground floor, Pak Fuk Building, 80-118 Kam Ping Street, North Point, Hong Kong",29152338, ,familystar.hk@gmail.com,Foreign Domestic Helpers
924,FAMILYJOY.HK,寫意僱傭中心,2017,Eastern District,"Shop 13, Ground floor, King's Park Lane, 278-288 King's Road, Fortress Hill, Hong Kong",36223846,37477931,familyjoy2008@gmail.com,Foreign Domestic Helpers
925,FamilyMaid Employment Services Limited,家庭僱傭服務中心有限公司,2015,Wan Chai District,"Flat D, 11th floor, Causeway Tower, 16-22 Causeway Road, Causeway Bay, Hong Kong",35868811,35868860,info@familymaid.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
926,FamilyMaid Employment Services Limited,家庭僱傭服務中心有限公司,2021,Sha Tin District,"Shop G102A-1, Ground floor, Yiu On Shopping Centre, Yiu On Estate, 2 Hang Hong Street, Ma On Shan, Shatin, New Territories",35868811,35868860,info@familymaid.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
927,FAN IN EMPLOYMENT AGENCY LIMITED,繁榮僱傭有限公司,2012,Kowloon City District,"Shop 2A, Ground floor, 69 Waterloo Road, Ho Man Tin, Kowloon",35868686,37530456,mk@faninmaid.com,Foreign Domestic Helpers
928,FAN IN EMPLOYMENT AGENCY LIMITED,繁榮僱傭有限公司,2013,Tuen Mun District,"Shop R317, Level 3, Butterfly Plaza, Butterfly Estate, Tuen Mun, New Territories",34819288,35866613,tm@faninmaid.com,Foreign Domestic Helpers
929,Fancy Employment Agency,紹職會,2007,Wan Chai District,"Room 1504, 15th floor, Progress Commercial Building, 9 Irving Street, Causeway Bay, Hong Kong",28046388, ,cs@fancymaid.com,"Local Domestic Helpers, Foreign Domestic Helpers"
930,FanTECon Consultancy Limited,澧騫顧問有限公司,2019,Central and Western District,"Room 1001, 10th floor, Vogue Centre, 696 Castle Peak Road, Lai Chi Kok, Kowloon, Hong Kong", , ,margaret.chiu@fantecon.com,Office Staff / Executive Search
931,FAR EAST HR LIMITED,,2014,Yau Tsim Mong District,"Shop G06-G08, Ground floor, Regal Kowloon Hotel, 71 Mody Road, Tsim Sha Tsui East, Kowloon",27213598,28953686,kathy.kwok@fareasthr.com.hk,"Office Staff / Executive Search, Other Non-office Worker"
932,FastLane HR Solution Services Limited,,2017,Central and Western District,"Suite 304, 3rd floor, General Commercial Building, 156-164 Des Voeux Road Central, Central, Hong Kong",25222098,30119453, ,Office Staff / Executive Search
933,FATFEI LIMITED,,2018,Eastern District,"Room 1101C, 11th floor, Block B, Sea View Estate, 4-6 Watson Road, North Point, Hong Kong",91468819, ,fanny@fatfeiltd.com,Office Staff / Executive Search
934,FAVOR MAID EMPLOYMENT AGENCY,非凡女傭專門店,2013,Yau Tsim Mong District,"Room 506, Rear Portion, 13th floor, Nathan Apartments, 506-508 Nathan Road, Yau Ma Tei, Kowloon",27893218,27877518,gpedanny@biznetvigator.com,Foreign Domestic Helpers
935,FC Resources (Hong Kong) Limited,朗程資源(香港)有限公司,2018,Wong Tai Sin District,"Room 805, 8th floor, Winning Centre, 29 Tai Yau Street, San Po Kong, Kowloon",35210201, ,rayland@netvigator.com,"Office Staff / Executive Search, Other Non-office Worker"
936,Ferguson Partners Hong Kong Limited,,2011,Central and Western District,"Flat 801-804, 8th floor, Kinwick Centre, 32 Hollywood Road, Central, Hong Kong", , ,mdambrumenil@fergusonpartners.com,Office Staff / Executive Search
937,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2012, ,"Room 1106, 11th floor, Haleson Building, 1 Jubilee Street, Central, Hong Kong", , , ,Foreign Domestic Helpers
938,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2016,Sham Shui Po District,"Unit 7146, Level 7, Apple Mall, Dragon Centre, 37K Yen Chow Street, Sham Shui Po, Kowloon",61502159,28992161,tnh8888@yahoo.com,Foreign Domestic Helpers
939,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2016, ,"Shop 46, Level 1, Lung Fung Garden, 33 Lung Sum Avenue, Sheung Shui, New Territories", , , ,Foreign Domestic Helpers
940,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2016,Wan Chai District,"Flat 1511, 15th floor, Lucky Centre, 165-171 Wan Chai Road, Wan Chai, Hong Kong",54004422,28982161, ,Foreign Domestic Helpers
941,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2016,Sham Shui Po District,"Unit A6, 8th floor, Fast Industrial Building, 658 Castle Peak Road, Sham Shui Po, Kowloon",61502159,28992161,tnh8888@yahoo.com,Foreign Domestic Helpers
942,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2016,Sham Shui Po District,"Flat 09, Block C, 8th floor, Cheung Kong Factory Building, 6 Cheung Yee Street, Lai Chi Kok, Kowloon", , , ,Foreign Domestic Helpers
943,FESDI EMPLOYMENT CENTRE,喜訊僱傭公司,2016, ,"Shop 35B, 1st floor, Fortune Plaza, 4 On Chee Road, Tai Po, New Territories", , , ,Foreign Domestic Helpers
944,FHL Search (HK) Limited,,2018,Central and Western District,"Room 702, 7th floor, Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan, Hong Kong", , , ,Office Staff / Executive Search
945,Fidelity Human Resources Consultants Co,港誠人事顧問公司,1995,Wan Chai District,"Unit C & D, 20th floor, Vulcan House, 21-23 Leighton Road, Causeway Bay, Hong Kong",28828378,28828172,fhr@fhrselect.com,Office Staff / Executive Search
946,Fides Solutions Limited,梵達方案有限公司,2020,Eastern District,"Room 410, 4th floor, Eastern Centre, 1065 King's Road, Quarry Bay, Hong Kong",31889933,31889940, ,Office Staff / Executive Search
947,Fiducia Executive Search Limited,,2018,Wan Chai District,"15th floor, O.T.B. Building, 160 Gloucester Road, Wan Chai, Hong Kong",25232171,28104494,info@fiducia-china.com,Office Staff / Executive Search
948,Figure Heads Consultants Limited,翹楚顧問有限公司,1992,Yau Tsim Mong District,"Room 630, 6th floor, Star House, 3 Salisbury Road, Tsim Sha Tsui, Kowloon",26883268,28157997,virginia.fan@figureheads.com.hk,Office Staff / Executive Search
949,Fil-Indo Employment Resources Co.,奔達僱傭,2015, ,"Flat A, 3rd floor, Man Wah Building, 135 Kwong Fuk Road, Tai Po, New Territories", , , ,Foreign Domestic Helpers
950,FILLTURE GROUP,匯嵐人力資源,2019,Kwai Tsing District,"Room 5, 16th floor, K83, 83 Tai Lin Pai Road, Kwai Chung, New Territories",28149388, ,info@fillturegroup.com,Office Staff / Executive Search
951,FINANCE ELITE LIMITED,財萃顧問有限公司,2008,Central and Western District,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",91005426,25308100,davidyeung@finance-elite.com,Office Staff / Executive Search
952,Find a Foreign Employer Agency,,2005, ,"5th floor, Yat Fat Building, 44-46 Des Voeux Road Central, Central, Hong Kong", , , ,Foreign Domestic Helpers
953,FIND ASIA LIMITED,,2013,Central and Western District,"Suite 305, 3th floor, Far East Finance Centre, 16 Harcourt Road, Admiralty, Hong Kong",21521160,21531012,info@findasia.com.hk,Office Staff / Executive Search
954,Fine Employment Services,美好女傭中心,2002,Kowloon City District,"Room 801, Unit A, 8th floor, Acro Industrial Building, 19 Yuk Yat Street, To Kwa Wan, Kowloon",23643294,23644299,judywong03@yahoo.com.hk,Foreign Domestic Helpers
955,Finest International Limited,豐仕國際有限公司,1991,Yau Tsim Mong District,"Room 601, 6th floor, Sino Centre, 582-592 Nathan Road, Mong Kok, Kowloon",23886182,28697900, ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
956,Finest International Limited,豐仕國際有限公司,2015,Wan Chai District,"Flat A, 15th floor, Prosperous Commercial Building, 54 Jardine's Bazaar, Causeway Bay, Hong Kong",28100013,28697900, ,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker"
957,Finet Job Limited,人才滙聚網有限公司,2012,Wan Chai District,"30th floor, Fortis Tower, 77-79 Gloucester Road, Wan Chai, Hong Kong",21537295, ,humphreylee@finet.com.hk,"Office Staff / Executive Search, Imported Worker"
958,FINEX,金雋,2015, ,"Suite 1201, 12th floor, The Gateway Tower 2, 25 Canton Road, Tsim Sha Tsui, Kowloon", , , ,Office Staff / Executive Search
959,Finished Contract Employment Center,約滿女傭中心,2012, ,"Room 1603, 16th floor, McDonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong", , , ,Foreign Domestic Helpers
960,FINTEL (USA) LIMITED,美國金訊有限公司,2016,Kwun Tong District,"Room 2705, 27th floor, APEC Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",28680668,28775021,stephen.tang@leadersoftasia.com,Office Staff / Executive Search
961,FIORI MEGA STAR EMPLOYMENT AGENCY LIMITED,,2019,Yau Tsim Mong District,"Unit 05, 11th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",68161280,36189096,abilityhongkong@gmail.com,Foreign Domestic Helpers
962,FIRST CALIBRE LIMITED,,2013,Central and Western District,"Unit 603, 6th floor, Tower 1, Admiralty Centre, 18 Harcourt Road, Admiralty, Hong Kong",63382070, ,lindalu@firstcalibre.com,Office Staff / Executive Search
963,FIRST CAPITAL RESOURCES GROUP LIMITED,,2014,Sham Shui Po District,"Shop 2, Ground floor, Shing To Building, 32-36 Tai Po Road, Sham Shui Po, Kowloon",96815269,31739059,info@maidbest.com.hk,Foreign Domestic Helpers
964,First Choice Employment Agency Centre,傭之選僱傭服務中心,2014,Wan Chai District,"Shop 203, 2nd floor, Lee Fat Shopping Centre, 30-36 Jardine's Crescent, Causeway Bay, Hong Kong",97311392, ,sheunfu2000@yahoo.com.hk,Foreign Domestic Helpers
965,First Employment Centre,冠中僱傭中心,1983,Yau Tsim Mong District,"Unit 603, 6th floor, Cambridge House, 26-28 Cameron Road, Tsim Sha Tsui, Kowloon",27235305,23111134,firstemp@yahoo.com.hk,Foreign Domestic Helpers
966,FIRST ONE DOMESTIC AGENCY COMPANY LIMITED,一代僱傭有限公司,2014, ,"Shop 1008, 1st floor, Causeway Square, 1-5 Sugar Street, Causeway Bay, Hong Kong", , ,firstonecwb@gmail.com,Foreign Domestic Helpers
967,FIRST POINT GROUP,,2011,Central and Western District,"Unit 109-110, 9th floor, 40-44 Bonham Strand, Sheung Wan, Hong Kong",37498600,37498677,lucy.lin@firstpointgroup.com,Office Staff / Executive Search
968,FIRSTONPOINT CONSULTANCY LIMITED,先卓顧問有限公司,2021,Central and Western District,"20th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",25839688 / 63907897, ,ankaawong@firstonpoint.hk,Office Staff / Executive Search
969,Fisher Search Limited,耀途顧問有限公司,2020,Central and Western District,"Unit 12, 21st floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong",36871626, ,recruit@fishersearch.com,Office Staff / Executive Search
970,Flaming Wheels Media Limited,風火輪傳煤有限公司,2020,Kwun Tong District,"Flat 27, 11th floor, Sing Win Factory Building, 15-17 Shing Yip Street, Kwun Tong, Kowloon",23630220,23309662,yvonnehcy@gmail.com,"Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker"
971,Flex Recruitment,招聘拍檔,2018,Kwun Tong District,"Unit K, 15th floor, King Palace Plaza, 55 King Yip Street, Kwun Tong, Kowloon",35863032, ,michael.tsang@flexrecruitment.com.hk,Office Staff / Executive Search
